iter	Passed	Remaining
979	9114	186
980	9124	176
981	9133	167
982	9142	158
983	9152	148
984	9161	139
985	9171	130
986	9180	120
987	9189	111
988	9198	102
989	9207	93
990	9216	83
991	9226	74
992	9236	65
993	9245	55
994	9254	46
995	9262	37
996	9271	27
997	9280	18
998	9290	9
999	9299	0
